year, mo,source_dataset, region, extent,   area
1979,  4,    NSIDC-0051,      S,   7.49,   5.45
1980,  4,    NSIDC-0051,      S,   5.40,   3.68
1981,  4,    NSIDC-0051,      S,   5.84,   4.07
1982,  4,    NSIDC-0051,      S,   7.72,   5.79
1983,  4,    NSIDC-0051,      S,   6.47,   4.70
1984,  4,    NSIDC-0051,      S,   6.42,   4.53
1985,  4,    NSIDC-0051,      S,   6.49,   4.74
1986,  4,    NSIDC-0051,      S,   6.39,   4.56
1987,  4,    NSIDC-0051,      S,   6.80,   5.04
1988,  4,    NSIDC-0051,      S,   6.29,   4.44
1989,  4,    NSIDC-0051,      S,   6.31,   4.50
1990,  4,    NSIDC-0051,      S,   7.00,   5.18
1991,  4,    NSIDC-0051,      S,   7.05,   5.18
1992,  4,    NSIDC-0051,      S,   6.79,   5.00
1993,  4,    NSIDC-0051,      S,   6.65,   4.90
1994,  4,    NSIDC-0051,      S,   7.22,   5.45
1995,  4,    NSIDC-0051,      S,   7.27,   5.40
1996,  4,    NSIDC-0051,      S,   7.28,   5.37
1997,  4,    NSIDC-0051,      S,   6.49,   4.84
1998,  4,    NSIDC-0051,      S,   6.85,   5.12
1999,  4,    NSIDC-0051,      S,   6.89,   5.13
2000,  4,    NSIDC-0051,      S,   7.13,   5.31
2001,  4,    NSIDC-0051,      S,   7.04,   5.30
2002,  4,    NSIDC-0051,      S,   6.33,   4.59
2003,  4,    NSIDC-0051,      S,   7.21,   5.56
2004,  4,    NSIDC-0051,      S,   7.28,   5.39
2005,  4,    NSIDC-0051,      S,   7.03,   5.19
2006,  4,    NSIDC-0051,      S,   6.01,   4.28
2007,  4,    NSIDC-0051,      S,   6.42,   4.70
2008,  4,    NSIDC-0051,      S,   8.24,   6.23
2009,  4,    NSIDC-0051,      S,   7.80,   5.96
2010,  4,    NSIDC-0051,      S,   6.72,   5.00
2011,  4,    NSIDC-0051,      S,   6.10,   4.39
2012,  4,    NSIDC-0051,      S,   7.31,   5.55
2013,  4,    NSIDC-0051,      S,   7.62,   5.75
2014,  4,    NSIDC-0051,      S,   8.34,   6.41
2015,  4,    NSIDC-0051,      S,   8.37,   6.37
2016,  4,    NSIDC-0051,      S,   7.22,   5.38
2017,  4,    NSIDC-0051,      S,   5.44,   3.93
2018,  4,    NSIDC-0051,      S,   6.03,   4.15
2019,  4,    NSIDC-0051,      S,   5.72,   4.18
2020,  4,    NSIDC-0051,      S,   6.66,   4.81
2021,  4,    NSIDC-0051,      S,   7.13,   5.29
2022,  4,    NSIDC-0051,      S,   5.95,   4.25
2023,  4,    NSIDC-0051,      S,   5.54,   4.00
2024,  4,    NSIDC-0051,      S,   6.25,   4.61
2025,  4,    NSIDC-0803,      S,   6.17,   4.42
2026,  4,    NSIDC-0803,      S,   6.18,   4.48
